name,description,icon_color,long,lat,pic_url,thumb_url,is_video
Pollença,http://bit.ly/1qG6C6W,,3.174.676,39.953784,//www.youtube.com/embed/70oGB6LSNGk,http://www.disfrutalaplaya.com/es/Mallorca/Pollensa/Playa-Cala-Figuera/fullsize/1.jpg,TRUE
S´Arenalet des Verger,http://bit.ly/1nKxfpb,,3.378609,39.76555,//www.youtube.com/embed/O3c639D2Gbc,http://www.disfrutalaplaya.com/es/Mallorca/Arta/Playa-SArenalet-des-Verger/fullsize/1.jpg,TRUE
Cala Mitjana,http://bit.ly/1lJdg4t,,3.247632,39.387602,//www.youtube.com/embed/2f7jqmPrwEI,http://www.disfrutalaplaya.com/es/Mallorca/Felanitx/Playa-Cala-Mitjana/fullsize/1.jpg,TRUE
Caló des Moro,http://bit.ly/1zinyB0,,3.139271,39.32409,//www.youtube.com/embed/Ones8JOdi9k,http://www.disfrutalaplaya.com/es/Mallorca/Santanyi/Playa-Calo-des-Moro/fullsize/1.jpg,TRUE
Cala Deià,http://bit.ly/1AlJSuK,,2.641109,39.759942,//www.youtube.com/embed/SMf2YPRqxN8,http://www.disfrutalaplaya.com/es/Mallorca/Deia/Playa-Cala-Deia/fullsize/1.jpg,TRUE
Cala Varques,http://bit.ly/Uv80Kx,,3.296341,39.50015,//www.youtube.com/embed/Zq57onbaLb8,http://www.disfrutalaplaya.com/es/Mallorca/Manacor/Playa-Cala-Varques/fullsize/1.jpg,TRUE
Es Caragol,http://bit.ly/1o3QDHU,,3.043398,39.278195,//www.youtube.com/embed/uo7DvGvsbYg,http://www.disfrutalaplaya.com/es/Mallorca/Santanyi/Playa-Es-Caragol/fullsize/1.jpg,TRUE
Cala Maioris,http://bit.ly/1nv9Vus,,2.742561,39.450726,//www.youtube.com/embed/T0JZHgw8vJk,http://www.disfrutalaplaya.com/es/Mallorca/Llucmajor/Playa-Cala-Maioris/fullsize/1.jpg,TRUE
Cala Mondragó,http://bit.ly/1o3RqZl,,3.188366,39.351987,//www.youtube.com/embed/58qn6P0uXGc,http://www.disfrutalaplaya.com/es/Mallorca/Santanyi/Playa-Cala-Mondrago/fullsize/1.jpg,TRUE
Cala sa Nau,http://bit.ly/1pk3jyq,,3.248061,39.393141,//www.youtube.com/embed/SA-qAQVqRO8,http://www.disfrutalaplaya.com/es/Mallorca/Felanitx/Playa-Cala-sa-Nau/fullsize/5.jpg,TRUE
N´Aladern,http://bit.ly/WIJNlI,,3.454055,39.683989,//www.youtube.com/embed/8LU70iRqrYk,http://www.disfrutalaplaya.com/es/Mallorca/Capdepera/Playa-NAladern/fullsize/1.jpg,TRUE
Cala Comtessa,http://bit.ly/1lJjwZZ,,2.589911,39.534746,//www.youtube.com/embed/qTWPIi4q0b8,http://www.disfrutalaplaya.com/es/Mallorca/Calvia/Playa-Cala-Comtessa/fullsize/1.jpg,TRUE
S´Amarador,http://bit.ly/1nKClBE,,3.18549,39.350146,//www.youtube.com/embed/F3EuhxOjmik,http://www.disfrutalaplaya.com/es/Mallorca/Santanyi/Playa-SAmarador/fullsize/1.jpg,TRUE
Cala Pi,http://bit.ly/1l4Pb8h,,2.83985,39.364414,//www.youtube.com/embed/Bsv_Yto0NHc,http://www.disfrutalaplaya.com/es/Mallorca/Llucmajor/Playa-Cala-Pi/fullsize/1.jpg,TRUE
Platja de Portals Vells,http://bit.ly/1ovXC1d,,2.521333,39.472096,//www.youtube.com/embed/Bnf1MX2Sps4,http://www.disfrutalaplaya.com/es/Mallorca/Calvia/Playa-Platja-de-Portals-Vells%20I/fullsize/1.jpg,TRUE
Torrent de Pareis,http://bit.ly/1ovXPBx,,2.804188,39.85222,//www.youtube.com/embed/1E-5Ay0X7Ko,http://www.disfrutalaplaya.com/es/Mallorca/Escorca/Playa-Torrent-de-Pareis/fullsize/1.jpg,TRUE
S´Illot,http://bit.ly/1prvl8d,,3.162788,39.873302,//www.youtube.com/embed/2VrT4kXHTcU,http://www.disfrutalaplaya.com/es/Mallorca/Alcudia/Playa-SIllot/fullsize/1.jpg,TRUE
Platja del Mago,http://bit.ly/1mS1mor,,2.520463,39.47509,//www.youtube.com/embed/ZdjjCwlf06Y,http://www.disfrutalaplaya.com/en/Mallorca/Calvia/Playa-Platja-del-Mago/fullsize/1.jpg,TRUE
