"ayto:foto";"ayto:numero";"ayto:parada";"ayto:sentido";"dc:identifier";"dc:modified";"gn:coordX";"gn:coordY";"id";"vivo:address1";"wgs84_pos:lat";"wgs84_pos:long"
"oracle.sql.BLOB@7b758345";"101";"Los Castros 23";"L.Quintanilla Isasi";"35";"2014-04-14 12:20:01";"436376.6";"4813883";"http://datos.santander.es/api/datos/paradas_bus/35";"Avenida Los Castros 23";"43.47327862344123";"-3.787952884658477"
"oracle.sql.BLOB@5ffd6655";"103";"Las Estaciones";"Bº Pesquero";"239";"2014-04-14 12:20:01";"434515.8";"4812324";"http://datos.santander.es/api/datos/paradas_bus/239";"Plaza de las Estaciones S/N";"43.45908154114637";"-3.8107700513716405"
"oracle.sql.BLOB@754987ae";"104";"Calle Castilla 27";"Bº Pesquero";"240";"2014-04-14 12:20:01";"434345.4";"4812148";"http://datos.santander.es/api/datos/paradas_bus/240";"C/ Castilla 27";"43.45748199250403";"-3.812854959335722"
"oracle.sql.BLOB@2e6aecaa";"105";"Calle Castilla 51";"Bº Pesquero";"241";"2014-04-14 12:20:01";"433969.6";"4811963.43";"http://datos.santander.es/api/datos/paradas_bus/241";"C/ Castilla 51";"43.45578714070723";"-3.8174772964175623"
"oracle.sql.BLOB@6dd7a4b4";"106";"Calle Castilla71";"Bº Pesquero";"242";"2014-04-14 12:20:01";"433682.14";"4811821.38";"http://datos.santander.es/api/datos/paradas_bus/242";"C/ Castilla71";"43.45448276789331";"-3.821012770907022"
"oracle.sql.BLOB@687e5dc2";"107";"Calle Castilla La Marga";"Bº Pesquero";"243";"2014-04-14 12:20:01";"433362.3";"4811680";"http://datos.santander.es/api/datos/paradas_bus/243";"C/Castilla (La Marga)";"43.45318143494558";"-3.824948346035525"
"oracle.sql.BLOB@403da126";"108";"Puente la Marga";"Canalejas";"105";"2014-04-14 12:20:01";"433131.4";"4811629";"http://datos.santander.es/api/datos/paradas_bus/105";"Jeronimo saiz de la Maza";"43.452701653569726";"-3.82779569033466"
"oracle.sql.BLOB@e1ee6bd";"109";"Jeronimo Saiz de la Maza 9";"Canalejas";"106";"2014-04-14 12:20:01";"433194.6";"4812001";"http://datos.santander.es/api/datos/paradas_bus/106";"Jeronimo Saiz de la Maza 9";"43.456056575822494";"-3.827060241700295"
"oracle.sql.BLOB@ebe8989";"409";"Corceño";"Las Estaciones";"381";"2014-04-14 12:20:01";"430769.57";"4812715.65";"http://datos.santander.es/api/datos/paradas_bus/381";"Corceño";"43.462270281530984";"-3.857122307777554"
"oracle.sql.BLOB@7f3788ee";"81";"Las Californias";"Ojaiz";"230";"2014-04-14 12:20:01";"431905.4";"4811845";"http://datos.santander.es/api/datos/paradas_bus/230";"Campogiro";"43.45453578161125";"-3.842974170575647"
